"stay" "exit" "owner" "educ" "age_20"
6.6 1 0 "L" 15
7.5 1 0 "H" 20
33 0 1 "M" 10
27 0 1 "M" 24
4.4 1 0 "M" 10
6.2 1 0 "H" 10
5.6 1 1 "H" 21
6.4 1 0 "H" 14
32 0 0 "M" 16
5.7 1 1 "L" 10
31 0 1 "H" 10
3.1 1 0 "M" 11
7.3 1 0 "M" 16
4.5 1 0 "M" 14
6.1 1 0 "M" 16
10.8 1 1 "M" 8
27 1 1 "H" 23
7.7 1 0 "H" 15
1.7 1 1 "L" 22
36 0 0 "M" 8
11.1 1 1 "L" 25
10.6 1 1 "H" 12
32 0 1 "M" 10
5.9 1 0 "L" 15
7.8 1 1 "M" 10
9.1 1 0 "H" 19
34 0 0 "M" 18
8.2 1 1 "H" 23
33 0 1 "M" 20
25 0 1 "M" 15
21.6 1 0 "M" 11
5.6 1 0 "L" 12
32 0 0 "L" 18
13.1 1 1 "M" 19
17.9 1 0 "M" 15
9.8 1 0 "M" 17
25 0 1 "M" 17
30 0 0 "H" 13
5.4 1 1 "M" 17
26 0 0 "H" 23
1.2 1 1 "M" 13
7.3 1 0 "H" 24
6.6 1 0 "M" 21
6.2 1 0 "L" 8
8 1 0 "M" 8
8.9 1 0 "M" 20
32 0 0 "L" 11
34 0 1 "L" 15
7.8 1 1 "H" 8
35 0 0 "M" 10
23 1 0 "H" 16
5.7 1 0 "M" 17
3.9 1 0 "M" 10
3.1 1 0 "M" 11
12.8 1 0 "M" 25
5.8 1 1 "M" 15
20 0 0 "L" 19
17.2 1 0 "H" 17
2.9 1 0 "L" 23
8.2 1 0 "L" 18
4.7 1 0 "M" 14
18 0 1 "L" 22
32 0 0 "M" 21
3.9 1 0 "H" 15
6.9 1 1 "L" 16
20 0 1 "L" 14
14.1 1 0 "L" 19
22 0 0 "H" 14
30.9 1 0 "L" 11
23.7 1 1 "M" 13
7.2 1 0 "L" 24
20 0 0 "M" 24
36 0 1 "M" 21
34 0 1 "H" 21
10.4 1 0 "M" 17
6.1 1 1 "M" 9
35 0 0 "M" 17
16.2 1 0 "M" 19
25 0 0 "H" 21
10.2 1 0 "M" 10
14.7 1 1 "M" 13
5.8 1 0 "M" 25
5 1 1 "M" 14
34 0 0 "M" 12
5.9 1 0 "L" 20
9.7 1 0 "H" 16
8.3 1 1 "L" 19
16.5 1 0 "H" 25
15.6 1 0 "H" 20
29 0 1 "L" 15
36 0 1 "M" 12
27 0 0 "M" 13
20.8 1 0 "M" 10
3.4 1 0 "M" 16
18 0 0 "L" 17
14 1 1 "M" 15
7.6 1 0 "H" 22
5 1 1 "M" 16
10.4 1 0 "M" 8
5.2 1 0 "H" 9
22 0 1 "M" 15
2.7 1 0 "L" 24
10.5 1 0 "L" 17
10.2 1 0 "H" 12
13 1 0 "L" 18
6.4 1 0 "L" 9
30 0 1 "M" 23
24 0 1 "L" 19
24 1 0 "L" 16
17.5 1 0 "M" 19
10.7 1 1 "M" 24
7.6 1 0 "H" 15
4.5 1 1 "H" 24
19 0 1 "M" 8
4.1 1 1 "L" 13
22.7 1 0 "M" 24
2 1 1 "M" 12
10.4 1 0 "H" 11
6 1 0 "M" 9
2.5 1 0 "M" 22
8.8 1 0 "L" 15
9.2 1 1 "M" 18
37 0 1 "M" 19
32 0 1 "M" 12
2.2 1 0 "H" 8
12.6 1 0 "M" 10
9.9 1 0 "M" 20
31 0 0 "M" 18
11.3 1 1 "M" 11
23 0 1 "M" 24
14 1 0 "M" 16
16.9 1 1 "M" 11
21 0 0 "L" 13
35 0 0 "M" 16
3.4 1 0 "H" 9
9.5 1 0 "H" 9
26 0 0 "L" 16
27 0 0 "H" 11
11.3 1 0 "H" 23
29 0 1 "M" 11
18 0 0 "M" 14
7.3 1 0 "M" 19
21 0 0 "M" 19
13.7 1 0 "M" 21
31 0 1 "M" 15
5.8 1 0 "M" 15
35 0 1 "M" 23
3 1 0 "H" 19
31 0 1 "L" 17
12.1 1 0 "M" 23
34 0 1 "M" 22
32 0 1 "L" 13
3.1 1 0 "L" 22
6.3 1 0 "M" 14
6.9 1 0 "H" 13
24.6 1 0 "L" 18
3.1 1 0 "H" 18
13.1 1 1 "M" 21
5.1 1 1 "H" 21
26 0 1 "M" 23
4.5 1 0 "M" 12
8.8 1 0 "H" 21
34 0 0 "H" 12
5.9 1 0 "H" 9
2.5 1 0 "M" 13
15.7 1 1 "M" 12
4.1 1 0 "H" 16
4.9 1 1 "L" 8
10.8 1 0 "L" 8
16.4 1 0 "M" 24
6.1 1 0 "M" 10
10.9 1 0 "M" 15
35 0 0 "M" 24
13 1 0 "L" 12
5.6 1 0 "L" 13
21 0 1 "H" 14
10.5 1 0 "M" 24
27 0 0 "M" 17
7.2 1 1 "H" 10
6.7 1 0 "L" 12
32 0 0 "H" 17
2.5 1 0 "H" 23
13.4 1 0 "M" 20
28 0 0 "L" 23
5.9 1 0 "M" 14
2.3 1 0 "M" 14
6.8 1 0 "M" 16
3.9 1 0 "M" 24
9.5 1 1 "M" 9
3.8 1 1 "L" 25
11.3 1 0 "H" 8
28 0 1 "M" 12
27 0 1 "M" 10
3.9 1 0 "M" 12
2.6 1 1 "M" 11
2.7 1 0 "L" 21
4.5 1 0 "M" 10
34 0 1 "H" 20
6.5 1 1 "M" 21
9.8 1 1 "M" 24
25 0 1 "M" 8
31 0 1 "H" 25
30 0 0 "M" 15
8.1 1 0 "M" 20
7.6 1 1 "M" 13
2.6 1 0 "L" 23
26 0 1 "L" 21
32 0 0 "M" 22
5.1 1 0 "M" 9
34 0 0 "M" 16
21 0 1 "M" 18
20 0 1 "H" 23
26 0 0 "M" 22
7.4 1 0 "M" 15
6.3 1 0 "L" 9
14.4 1 0 "M" 8
20 0 0 "H" 22
20 0 0 "H" 24
3.8 1 0 "M" 11
12.8 1 0 "H" 11
33 0 1 "M" 18
3.5 1 1 "L" 11
9.4 1 0 "M" 18
0.5 1 1 "M" 8
3.8 1 0 "M" 13
4.3 1 0 "H" 20
23 0 1 "L" 25
6.8 1 0 "L" 11
23 0 1 "M" 14
3.4 1 1 "L" 15
10.3 1 0 "H" 16
0.5 1 0 "M" 10
30 0 0 "M" 24
8.3 1 0 "H" 13
2.5 1 1 "L" 18
4.4 1 0 "M" 10
5 1 0 "H" 22
30 0 1 "M" 23
6.6 1 0 "M" 13
2.3 1 0 "L" 13
30 0 0 "M" 15
6.4 1 0 "M" 16
3.7 1 0 "M" 11
37 0 0 "H" 22
25 0 0 "M" 11
4.2 1 0 "M" 21
15.9 1 0 "L" 8
33 0 1 "H" 12
33 0 0 "H" 16
33 0 0 "M" 16
22 0 0 "H" 20
36 0 0 "L" 20
4.8 1 0 "M" 9
5.8 1 0 "H" 10
36 0 1 "H" 12
6.4 1 0 "M" 10
4.9 1 1 "H" 19
18 0 1 "H" 10
37 0 1 "M" 17
3 1 1 "L" 12
7.1 1 0 "H" 25
8.4 1 0 "L" 18
7.6 1 0 "L" 12
5 1 0 "H" 18
3.3 1 0 "H" 9
11.9 1 0 "H" 25
1.6 1 0 "M" 12
13.8 1 1 "M" 25
18.4 1 0 "M" 9
29 0 1 "M" 19
6.6 1 0 "M" 10
13.9 1 1 "M" 15
25 0 0 "M" 19
9.1 1 0 "M" 11
22 0 1 "L" 17
5.7 1 0 "M" 14
6.6 1 0 "M" 15
2.3 1 1 "H" 15
5.6 1 0 "M" 12
36 0 1 "H" 24
13.8 1 1 "M" 10
32 0 1 "H" 19
29 0 1 "H" 19
25 0 1 "M" 16
34 0 1 "L" 17
5.2 1 0 "H" 20
28 0 1 "H" 16
5.5 1 0 "M" 16
4.1 1 0 "M" 13
4 1 0 "M" 22
22.9 1 1 "L" 8
6 1 1 "L" 9
38 0 1 "M" 17
15.5 1 0 "L" 19
33 0 1 "H" 25
24 0 0 "H" 18
7.3 1 1 "M" 15
7.1 1 1 "M" 13
16.3 1 0 "L" 10
35 0 1 "M" 23
29 0 0 "H" 12
29 0 0 "M" 14
26 0 0 "H" 10
11.8 1 1 "M" 12
19 1 0 "H" 22
8.1 1 0 "M" 17
22 0 0 "L" 20
1.3 1 0 "M" 18
34 0 0 "M" 10
7.4 1 0 "M" 10
9.1 1 0 "H" 24
38 0 0 "L" 24
5.9 1 1 "M" 8
3.1 1 0 "L" 22
6 1 0 "L" 22
24 0 1 "H" 23
10.4 1 0 "M" 11
9.4 1 0 "M" 25
7.7 1 1 "H" 17
8.7 1 1 "M" 15
3.5 1 0 "H" 19
26 0 1 "M" 9
18 0 0 "L" 18
37 0 1 "M" 22
34.1 1 0 "M" 9
3 1 1 "M" 13
6.6 1 1 "L" 10
26 0 0 "L" 23
2.4 1 0 "M" 23
33 0 1 "M" 20
30 0 1 "L" 11
36 0 0 "M" 24
12.6 1 0 "H" 13
22 0 0 "M" 18
10.9 1 1 "M" 25
36 0 0 "M" 20
33 0 0 "H" 21
23 0 1 "L" 10
27 0 0 "L" 22
14.8 1 0 "M" 23
12.6 1 1 "M" 25
8.7 1 0 "M" 9
3.1 1 1 "H" 21
2.7 1 0 "L" 17
2.1 1 0 "M" 21
10.3 1 0 "M" 16
21 0 1 "M" 24
15 1 0 "M" 15
7 1 0 "M" 21
2.7 1 1 "M" 20
34 0 0 "M" 11
38 0 0 "M" 25
10.6 1 0 "L" 10
29 0 1 "L" 12
37 0 1 "H" 21
4 1 0 "M" 10
5.6 1 0 "H" 12
26 0 0 "H" 14
25 0 1 "M" 10
7.6 1 0 "M" 17
11.4 1 0 "L" 11
4.8 1 0 "M" 13
34 0 0 "M" 20
18 0 1 "L" 21
3.4 1 0 "M" 14
7.3 1 0 "M" 20
12.5 1 0 "M" 12
7.6 1 1 "M" 16
32 0 1 "M" 25
7.2 1 0 "M" 13
10.3 1 0 "M" 10
27 0 0 "M" 19
26 0 1 "H" 23
