"sex","residence","topic","field","duration"
"M","T","S","eng",46
"F","P","S","soc",35
"M","T","N","soc",34
"F","P","N","soc",52
"M","P","N","soc",49
"F","T","S","nat",26
"M","P","S","nat",45
"M","P","S","soc",41
"M","T","N","soc",32
"M","P","N","soc",50
"M","P","N","soc",52
"M","T","N","eng",53
"M","P","N","soc",56
"M","P","N","nat",50
"F","T","N","soc",39
"F","T","N","soc",45
"M","P","N","soc",46
"M","P","N","nat",46
"F","P","N","eng",64
"M","T","S","soc",23
"M","P","N","soc",48
"F","P","N","soc",47
"M","T","N","soc",42
"F","P","N","soc",40
"F","T","N","nat",46
"F","T","N","soc",41
"F","T","N","soc",41
"F","T","N","nat",37
"F","P","N","soc",51
"M","P","N","soc",55
"F","T","N","nat",42
"F","T","N","soc",34
"M","P","S","nat",37
"F","P","N","soc",41
"M","P","N","nat",41
"M","T","S","eng",40
"F","T","N","nat",39
"M","P","N","nat",46
"F","P","S","nat",45
"M","P","N","eng",56
"M","P","N","soc",54
"M","P","N","soc",42
"M","P","S","eng",48
"M","T","N","eng",46
"M","P","N","eng",61
"F","T","S","nat",30
"M","P","N","soc",50
"M","P","N","soc",52
"F","T","N","soc",45
"M","P","N","eng",69
"F","T","N","soc",40
"F","P","N","soc",46
"F","P","N","nat",52
"M","T","S","eng",35
"M","T","S","soc",29
"M","T","S","soc",33
"M","P","N","soc",49
"M","P","N","nat",50
"M","P","N","eng",70
"F","P","N","soc",45
"F","T","N","soc",36
"M","P","N","nat",53
"F","T","N","eng",57
"M","P","N","eng",63
"M","P","N","eng",70
"F","P","N","soc",49
"M","P","N","eng",63
"F","T","S","nat",37
"M","T","S","eng",44
"M","T","S","nat",36
"M","P","N","soc",53
"M","P","N","soc",50
"F","T","N","soc",38
"F","P","N","soc",45
"F","P","N","soc",47
"M","T","N","soc",29
"M","P","N","nat",54
"M","P","S","nat",37
"M","P","S","eng",60
"F","T","S","eng",43
"M","P","N","nat",51
"F","T","S","soc",28
"M","P","N","nat",58
"F","P","N","soc",50
"M","T","S","nat",34
"F","T","N","nat",34
"M","T","S","eng",45
"F","P","S","soc",40
"F","P","N","soc",42
"M","P","N","eng",66
"F","P","S","soc",34
"M","T","N","soc",43
"F","T","S","soc",29
"M","T","S","eng",41
"M","T","S","nat",34
"F","P","N","soc",45
"M","P","N","soc",48
"F","T","N","soc",37
"M","P","S","eng",51
"M","T","S","soc",30
"M","P","S","eng",51
"F","P","S","eng",48
"F","T","S","soc",31
"F","T","S","soc",28
"M","T","N","soc",47
"M","T","S","eng",47
"M","P","N","nat",55
"F","P","N","soc",48
"F","P","N","eng",59
"M","P","N","eng",72
"F","T","N","soc",36
"M","P","S","nat",45
"M","P","N","eng",71
"F","P","N","soc",44
"F","T","N","nat",45
"M","T","N","soc",39
"M","P","S","soc",43
"F","P","N","soc",50
"M","T","N","nat",39
"M","T","N","eng",53
"M","P","N","nat",46
"M","P","N","eng",52
"M","P","N","soc",51
"M","P","N","nat",56
"M","P","S","eng",45
"M","T","N","soc",41
"F","P","S","nat",39
"M","T","N","soc",29
"F","P","N","soc",46
"M","P","N","eng",54
"M","P","N","soc",51
"F","T","N","soc",40
"M","P","S","soc",35
"F","P","N","nat",48
"M","T","S","nat",34
"M","P","S","soc",38
"M","P","N","soc",50
"F","P","S","soc",28
"M","T","N","nat",44
"M","P","N","soc",42
"M","T","S","soc",32
"M","P","N","soc",42
"M","P","N","soc",49
"M","T","S","eng",32
"M","P","S","nat",34
"M","T","N","eng",55
"M","T","N","eng",63
"M","T","N","eng",56
"M","P","N","eng",74
"M","P","S","soc",36
"M","P","N","nat",45
"M","P","N","soc",47
"M","T","S","nat",34
"M","T","S","eng",40
"M","T","N","soc",44
"F","P","N","soc",45
"M","P","S","eng",55
"M","T","N","nat",45
"F","P","N","soc",55
"M","P","N","soc",42
"F","P","N","nat",51
"M","P","S","nat",40
"F","P","N","soc",48
"F","P","N","soc",43
"F","P","S","soc",36
"M","P","N","soc",48
"M","T","N","eng",51
"M","T","N","soc",40
"M","T","N","eng",59
"M","T","N","eng",39
"F","P","N","soc",50
"F","P","N","soc",56
"M","P","N","soc",45
"M","T","N","nat",34
"M","P","N","nat",46
"F","P","S","soc",37
"M","P","N","eng",70
"F","P","N","nat",52
"M","P","N","eng",59
"M","P","N","eng",65
"M","P","N","eng",68
"F","T","N","soc",39
"M","T","N","eng",53
"F","T","S","eng",37
"F","T","N","soc",35
"M","T","N","eng",42
"M","P","N","eng",59
"M","T","S","nat",30
"M","P","N","eng",59
"M","T","N","soc",40
"F","T","N","soc",38
"M","P","N","eng",65
"F","P","S","nat",41
"M","T","N","eng",59
"F","P","N","soc",46
"M","P","N","soc",40
"M","P","N","soc",58
"F","T","S","nat",36
"M","P","N","eng",68
"F","P","S","soc",34
"M","P","S","eng",60
"F","P","S","soc",34
"M","P","N","eng",71
"F","P","N","eng",69
"F","P","N","soc",52
"M","T","S","eng",40
"F","T","S","soc",25
"M","T","S","soc",30
"M","P","N","soc",54
"F","T","S","soc",33
"F","P","N","soc",49
"M","P","N","nat",54
"M","P","S","nat",37
"F","P","N","soc",47
"M","P","N","nat",58
"M","P","S","eng",41
"M","T","N","nat",42
"F","T","N","soc",45
"M","P","N","nat",55
"F","P","N","soc",57
"M","T","S","soc",31
"M","P","N","nat",51
"M","P","N","soc",46
"M","T","N","eng",56
"M","P","N","eng",67
"F","T","S","soc",30
"M","T","N","soc",43
"F","T","N","soc",34
"F","T","N","soc",35
"F","T","S","soc",26
"F","T","S","eng",43
"M","P","N","soc",50
"M","T","N","soc",42
"M","P","N","eng",61
"M","P","N","nat",44
"F","T","N","soc",43
"M","P","N","soc",42
"M","T","S","eng",28
"M","P","N","soc",51
"F","T","S","soc",31
"M","P","N","soc",54
"F","T","N","nat",39
"M","P","S","nat",34
"F","P","S","nat",46
"M","P","N","eng",62
"M","T","N","eng",51
"M","T","N","nat",36
"F","P","N","soc",52
"F","T","S","soc",28
"M","P","S","eng",51
"F","T","S","soc",22
"M","T","S","nat",30
"F","T","S","soc",29
"F","T","N","soc",47
"M","P","N","soc",45
"F","P","S","soc",34
"M","T","N","soc",44
"M","T","N","nat",45
"M","P","S","eng",51
"F","P","N","eng",61
"F","P","N","soc",46
"M","P","N","eng",59
"M","P","N","nat",52
"M","T","N","soc",36
"F","T","N","soc",40
"M","T","N","soc",42
"F","P","N","eng",76
"M","P","N","soc",56
"F","P","S","nat",38
"F","T","N","soc",36
"M","T","N","eng",53
"F","P","S","soc",43
"M","P","S","eng",58
